
param n = 343;
param RiskLevel = 0.0005;

set STOCKS := r_efax	r_fnilx	r_usrt	r_tsla	r_mtr;

param Returns:	r_efax	r_fnilx	r_usrt	r_tsla	r_mtr :=

1	-0.0111273353610698	-0.00705474551434746	0.0104361315620497	0.0296331862215128	0.0266853044042298
2	0.00304111867207958	0.00355243427695416	0.00239751854328934	0.0192546675894901	0.0232559868468081
3	-0.00289410454042903	-0.00265484957748615	-0.010855547811407	0.038800516441517	-0.0120321401046559
4	0.00110580326981467	0.00532374330770736	0.00372019601247714	0.049204847959956	-0.0162381870410157
5	0.00289931270855391	0.00706097313090107	-0.00240907105558756	-0.0219450052632887	-0.0123796995123938
6	-0.00385456530786861	-0.00262925515024807	0.00798797417220526	-0.00662734255676536	-0.0250696095012148
7	0.00682691841307106	0.00702985993653226	0.0106893631652919	0.0976890441604844	0.0428571428571429
8	0.00167456285821461	-0.00174521858074343	-0.00419392667313538	0.0248828258964296	0.00410956040803267
9	0.000630411187627702	0.00174826969349667	0.00824022644988124	-0.0361020504907794	0.0095498241497243
10	0.00339625327900586	0.00872609290371701	0.0112603923226524	-0.00966247858232819	0.0135136547441634
11	0.00270232618975645	0.00346015519163386	0	-0.00582289831979002	0.00666666573768299
12	-0.00950081483827669	-0.00258627693671223	0.0109554767601422	0.0718903442094094	0.0291389580743349
13	0.00406767283121155	0.000864356867831072	-0.00781665260132869	0.0408625814900843	0.0347489262099465
14	-0.00124554487085793	0.000863522981442954	0.00859443371554448	0.00463514806249178	0.0223882954267604
15	-0.00275427965046388	-0.00862812890206572	-0.00301795777682165	-0.0128976317214675	-0.0498785413159138
16	-0.0197873268292949	-0.0156657809322766	-0.0058759858974704	-0.0120392429102877	-0.0358513138103981
17	0.00772426692859585	0.00972596119980283	0.00376142325206057	0.015913417652178	0.0318724231457961
18	0.000626029042592833	-0.000875709990805865	-0.00178452168748725	0.024854481165668	-0.0038609768560633
19	-0.00291945218086887	0.00350564395990397	-0.000357561032715463	0.102962230037733	0.00509064208172306
20	-0.0152956764258815	-0.0174672519969027	-0.0128753459589371	0.0152306842457824	-0.0194803807759184
21	0.00525328289055063	0.00800012741606862	0.00380421991138848	0.198948632721285	0
22	0.0152124722862422	0.0158729988694089	0.0102869166181081	0.137256429487179	0.0105959495456549
23	0.00743686873810669	0.0104166849737731	-0.000178624811510082	-0.171758395625577	0.0275228735893049
24	0.00358074590650795	0.00343646108343063	0.00339466418753357	0.0194093164637361	-0.0535714427082688
